time,ID_PRODUCTO,COD_CLIENTE,FECHA_REAL,VALOR_VENTA,VALOR_FINANCIADO
19,4286724,345828, 17/04/2015,15000,890000
16,4285368,401644, 14/04/2015,665000,0
16,4285368,401644, 14/04/2015,735000,1400000
24,3119898,266685, 22/04/2015,919900,0
24,3119898,266685, 22/04/2015,50600,970500
24,4288606,420421, 22/04/2015,868640,868640
24,4288607,494296, 22/04/2015,1347600,1347600
24,4285963,461605, 22/04/2015,780000,0
24,4285963,461605, 22/04/2015,177001,0
24,4285963,461605, 22/04/2015,383999,1341000
18,4285764,558526, 16/04/2015,1393852,1393852
17,638679,609131, 15/04/2015,356376,356376
17,571569,532705, 15/04/2015,1271679,1271679
17,4285708,519781, 15/04/2015,549784,549784
17,4285673,585194, 15/04/2015,1120412,1120412
17,4281462,460712, 15/04/2015,630462,630462
17,3123732,482967, 15/04/2015,1476156,1476156
16,4285296,451137, 14/04/2015,1400000,1400000
16,569349,522828, 14/04/2015,455028,455028
16,3341370,450983, 14/04/2015,399914,399914
16,4285020,783482, 14/04/2015,451500,451500
24,641113,572760, 22/04/2015,1270000,1270000
22,3125868,355029, 20/04/2015,485100,0
22,3125868,355029, 20/04/2015,16000,501100
23,3041261,394260, 21/04/2015,357000,357000
24,4202388,424086, 22/04/2015,369900,369900
22,4287743,223926, 20/04/2015,664340,0
22,4287743,223926, 20/04/2015,18000,682340
22,3224785,408051, 20/04/2015,752400,0
22,3224785,408051, 20/04/2015,20000,772400
22,3248270,400837, 20/04/2015,1369980,0
22,3248270,400837, 20/04/2015,30020,1400000
22,1125288,396886, 20/04/2015,316000,0
22,1125288,396886, 20/04/2015,18000,334000
21,4287438,338250, 19/04/2015,867500,0
21,4287438,338250, 19/04/2015,532500,1400000
19,3041261,394260, 17/04/2015,892500,892500
19,3485917,391713, 17/04/2015,1049900,0
19,3485917,391713, 17/04/2015,92200,1142100
17,4285774,226422, 15/04/2015,780192,0
17,4285774,226422, 15/04/2015,20000,800192
15,4284992,116282, 13/04/2015,1180969,1180969
15,630013,568208, 13/04/2015,1500000,1500000
15,4284978,784744, 13/04/2015,1400000,1400000
15,3164424,436355, 13/04/2015,1500000,1500000
15,3253653,503743, 13/04/2015,369252,369252
23,4288151,786230, 21/04/2015,19600,0
23,4288151,786230, 21/04/2015,805600,0
23,4288151,786230, 21/04/2015,584800,1400000
15,658836,479224, 13/04/2015,1205534,1205534
23,3929223,244495, 21/04/2015,25000,0
23,3929223,244495, 21/04/2015,367500,0
23,3929223,244495, 21/04/2015,736825,1129325
15,601697,584220, 13/04/2015,1213961,1213961
23,3799190,274734, 21/04/2015,15000,0
23,3799190,274734, 21/04/2015,499499,514499
23,3795151,305427, 21/04/2015,25000,0
23,3795151,305427, 21/04/2015,593649,618649
23,3051274,314850, 21/04/2015,24400,0
23,3051274,314850, 21/04/2015,1359600,1384000
23,3351935,244094, 21/04/2015,21400,0
23,3351935,244094, 21/04/2015,157500,0
23,3351935,244094, 21/04/2015,968100,1147000
23,3616109,311312, 21/04/2015,21500,0
23,3616109,311312, 21/04/2015,1378500,1400000
23,3267076,316017, 21/04/2015,22000,0
23,3267076,316017, 21/04/2015,1032700,1054700
22,4022078,302161, 20/04/2015,10000,0
22,4022078,302161, 20/04/2015,254600,264600
24,3569648,565822, 22/04/2015,388136,347136
24,4288590,566927, 22/04/2015,1292500,1292500
23,3016451,235405, 21/04/2015,20000,0
23,3016451,235405, 21/04/2015,1129000,1149000
22,3558346,242909, 20/04/2015,40000,0
22,3558346,242909, 20/04/2015,978401,1018401
22,4287677,196073, 20/04/2015,20000,0
22,4287677,196073, 20/04/2015,1369680,1389680
15,4284817,220425, 13/04/2015,1400000,1400000
22,3739199,89803, 20/04/2015,10000,0
22,3739199,89803, 20/04/2015,392500,402500
12,3578749,530890, 10/04/2015,815504,580504
20,3251368,313095, 18/04/2015,17000,0
20,3251368,313095, 18/04/2015,675200,692200
12,3155724,560673, 10/04/2015,1400000,1400000
12,4284403,575377, 10/04/2015,1107676,1107676
12,3485811,507169, 10/04/2015,1400000,1400000
12,3530870,503686, 10/04/2015,851359,851359
9,3316228,622944, 07/04/2015,1268500,0
9,3316228,622944, 07/04/2015,50000,1318500
9,4286810,439850, 07/04/2015,1340300,0
9,4286810,439850, 07/04/2015,59700,1400000
9,3594412,619513, 07/04/2015,1353000,0
9,3594412,619513, 07/04/2015,47000,1400000
9,647091,618963, 07/04/2015,622800,0
9,647091,618963, 07/04/2015,50000,672800
19,4285456,620292, 17/04/2015,700700,0
19,4285456,620292, 17/04/2015,537500,1238200
13,3046789,485471, 11/04/2015,1026800,0
13,3046789,485471, 11/04/2015,473200,1500000
24,629905,609212, 22/04/2015,359900,0
24,629905,609212, 22/04/2015,59600,419500
24,4049838,139578, 22/04/2015,419500,419500
24,4288578,435393, 22/04/2015,1299000,1299000
24,3556025,426501, 22/04/2015,1492984,1492984
24,4288577,294543, 22/04/2015,900000,0
24,4288577,294543, 22/04/2015,499999,1399999
24,4288574,597353, 22/04/2015,1789800,1789800
12,4284199,432899, 10/04/2015,447500,447500
12,3164001,519769, 10/04/2015,1500000,1500000
24,3302722,554172, 22/04/2015,154899,154899
12,3043017,530890, 10/04/2015,1500001,1500001
12,3321266,453462, 10/04/2015,1397412,1397412
12,3226788,505433, 10/04/2015,798903,798903
24,4288568,522189, 22/04/2015,1219000,0
24,4288568,522189, 22/04/2015,81000,1300000
11,4283885,122496, 09/04/2015,1300000,1300000
24,601759,447668, 22/04/2015,539800,539800
24,3570980,91523, 22/04/2015,762306,762306
10,587644,504409, 08/04/2015,1313296,1313296
9,3000062,535239, 07/04/2015,1398227,1398227
8,4282231,617865, 06/04/2015,1300000,1300000
8,3137716,510768, 06/04/2015,946000,946000
2,3110322,465787, 31/03/2015,1400000,1400000
2,3010375,163317, 31/03/2015,1400000,1400000
24,4288202,788380, 22/04/2015,2140900,2140900
2,3267888,456131, 31/03/2015,931547,931547
2,4280134,88693, 31/03/2015,1300000,1300000
2,3121232,295910, 31/03/2015,286000,286000
2,4280049,530321, 31/03/2015,1300000,1300000
2,4280031,220427, 31/03/2015,1300000,1300000
0,576865,506391, 29/03/2015,933868,933868
0,3576099,446411, 29/03/2015,1019869,1019869
24,4288058,541759, 22/04/2015,2161901,2161901
24,4288552,521999, 22/04/2015,1271600,1271600
24,4004496,205391, 22/04/2015,396900,396900
24,4288550,236434, 22/04/2015,376988,376988
24,4060681,466532, 22/04/2015,1217044,1217044
18,4122372,401892, 16/04/2015,708661,708661
24,3351610,259490, 22/04/2015,1181000,1181000
24,4288535,189665, 22/04/2015,1247300,1247300
24,4288534,254765, 22/04/2015,909315,909315
24,3956814,555038, 22/04/2015,885000,885000
24,3576561,357488, 22/04/2015,1388000,1368000
22,4287726,439288, 20/04/2015,1381254,1381254
24,3100671,478454, 22/04/2015,974925,0
24,3100671,478454, 22/04/2015,105900,1080825
24,4288528,207980, 22/04/2015,1298800,1298800
23,672927,517009, 21/04/2015,98999,98999
23,3241260,517931, 21/04/2015,720000,0
23,3241260,517931, 21/04/2015,380016,1100016
23,3840679,526467, 21/04/2015,1595891,1400000
24,4288513,684926, 22/04/2015,1400000,1400000
24,3577675,223102, 22/04/2015,248100,248100
24,4052185,231416, 22/04/2015,248400,0
24,4052185,231416, 22/04/2015,42000,290400
23,4287890,222565, 21/04/2015,1381253,1381253
24,4288502,204587, 22/04/2015,1292500,1292500
24,3011683,327333, 22/04/2015,212600,212600
22,4287749,534041, 20/04/2015,1385201,1385201
24,3311760,591875, 22/04/2015,1200000,1200000
23,580151,603946, 21/04/2015,976291,0
23,580151,603946, 21/04/2015,391416,1339407
22,3240919,532491, 20/04/2015,962598,962598
24,3557721,225242, 22/04/2015,189000,189000
23,4288048,409498, 21/04/2015,1343432,1343432
24,3659247,536147, 22/04/2015,1654100,1600000
24,4288491,509694, 22/04/2015,842856,842856
24,3266939,60448, 22/04/2015,1600000,1600000
24,3783193,600384, 22/04/2015,1109700,1109700
24,3032771,289751, 22/04/2015,799900,799900
24,590378,615195, 22/04/2015,644999,644999
24,3054366,581159, 22/04/2015,561800,561800
24,4286759,538838, 22/04/2015,383675,383675
24,4092573,555119, 22/04/2015,347172,347172
24,3327612,511857, 22/04/2015,1400000,1400000
24,4288466,353750, 22/04/2015,485000,0
24,4288466,353750, 22/04/2015,915000,1400000
24,3113137,590244, 22/04/2015,559999,559999
24,580649,603169, 22/04/2015,1260000,0
24,580649,603169, 22/04/2015,75000,1335000
22,4288451,215601, 20/04/2015,511260,511260
24,3227079,474863, 22/04/2015,927155,927155
24,3769043,275204, 22/04/2015,398800,398800
24,3582769,336769, 22/04/2015,609800,609800
24,3647578,485035, 22/04/2015,1389000,1389000
24,4223175,108350, 22/04/2015,599900,599900
24,4288433,784775, 22/04/2015,650000,0
24,4288433,784775, 22/04/2015,650000,1300000
24,3070363,474953, 22/04/2015,1047000,1047000
24,3727013,270487, 22/04/2015,39600,0
24,3727013,270487, 22/04/2015,679900,0
24,3727013,270487, 22/04/2015,679900,1399400
12,3672241,450675, 10/04/2015,376159,376159
24,4178879,447403, 22/04/2015,60000,60000
12,4037293,522844, 10/04/2015,482280,482280
12,3561294,474665, 10/04/2015,1197172,1197172
11,3459362,437520, 09/04/2015,954545,954545
24,4284711,266005, 22/04/2015,469900,469900
11,635248,590838, 09/04/2015,615006,615006
11,635248,590838, 09/04/2015,440160,440160
24,3025902,542953, 22/04/2015,882000,882000
10,3021860,593072, 08/04/2015,1472440,1472440
24,4288345,221863, 22/04/2015,799899,0
24,4288345,221863, 22/04/2015,66801,866700
10,3227748,537175, 08/04/2015,731330,731330
10,4283291,146208, 08/04/2015,1300000,1300000
10,4283256,506396, 08/04/2015,1300000,1300000
10,4283232,459581, 08/04/2015,1300000,1300000
24,576878,530712, 22/04/2015,969900,0
24,576878,530712, 22/04/2015,50600,1020500
24,3674318,600020, 22/04/2015,240100,240100
9,4283022,469905, 07/04/2015,910152,910152
9,4282813,106009, 07/04/2015,1300000,1300000
9,4282686,425227, 07/04/2015,974799,974799
9,4282650,219994, 07/04/2015,1300000,1300000
9,3772940,500026, 07/04/2015,455385,455385
9,4100177,192684, 07/04/2015,367395,367395
9,565426,593111, 07/04/2015,1500000,1500000
8,4282487,779592, 06/04/2015,1291830,1291830
24,3555719,405333, 22/04/2015,419899,0
24,3555719,405333, 22/04/2015,872501,1292400
24,3269341,375806, 22/04/2015,1397000,1397000
24,3209904,518484, 22/04/2015,1399500,1399500
24,3702189,512911, 22/04/2015,1305000,1305000
8,3854563,453895, 06/04/2015,1500000,1500000
8,4282402,196841, 06/04/2015,1300000,1300000
8,4282385,84059, 06/04/2015,795333,795333
8,3001123,524028, 06/04/2015,1400000,1400000
24,3558598,449035, 22/04/2015,1299800,1299800
24,3666760,171772, 22/04/2015,1202538,1202538
8,688790,561576, 06/04/2015,1497913,1497913
8,4139168,561840, 06/04/2015,229580,229580
8,3110694,531585, 06/04/2015,1086536,1086536
8,3254599,530837, 06/04/2015,1118000,1118000
8,4171516,427239, 06/04/2015,232142,232142
8,4282282,427617, 06/04/2015,1300000,1300000
8,3796044,507578, 06/04/2015,1009753,1009753
8,3866111,468218, 06/04/2015,1068962,1068962
8,581662,531617, 06/04/2015,1500000,1500000
8,3325784,560879, 06/04/2015,882077,882077
0,4279478,480367, 29/03/2015,1399999,1399999
24,3951469,421890, 22/04/2015,354900,354900
24,551705,569746, 22/04/2015,524500,524500
23,4287840,334466, 21/04/2015,994500,0
23,4287840,334466, 21/04/2015,75000,1069500
